table,target,model,metric,mean,sd,n,min,max
Table6,Tout_C,LCA-Stacking,MSE,0.36683708261686754,0.11972468428184488,4,0.227126326304514,0.5039775005577283
Table7,log1p_Q_J,BLSTM-XGB,MSE,0.009529384497196374,0.00064792661112576,4,0.0087714505805365,0.0100702582709705
Table7,log1p_Q_J,CNN-BLSTM,MSE,0.0100388270087068,0.004649467748503873,4,0.0048179507514841,0.0161316205963101
Table7,log1p_Q_J,BLSTM-SA,MSE,0.1415080376042599,0.052311140969274986,4,0.097670744476084,0.2159225508500012
Table7,log1p_Q_J,LCA-Stacking,MSE,0.00604059998560025,0.00468176852589017,4,0.0030005369720762,0.0129873760284646
Table8,Tout_C_external,BLSTM-XGB,MSE,0.23586086388841185,0.0768900020549096,4,0.1411989722147155,0.3138142372015683
Table8,Tout_C_external,CNN-BLSTM,MSE,0.5140613299110124,0.18299956416338944,4,0.3140014703554215,0.6792876049427223
Table8,Tout_C_external,BLSTM-SA,MSE,3.900310319698331,3.9407077702293556,4,1.1744214447892365,9.611201050319368
Table8,Tout_C_external,LCA-Stacking,MSE,0.5086548706208968,0.5073230857166954,4,0.0222500335132477,1.106473220239559
Table9,log1p_Q_J_external,BLSTM-XGB,MSE,0.006553521480391325,0.006952673848413356,4,0.0011156948568064,0.0167471046212826
Table9,log1p_Q_J_external,CNN-BLSTM,MSE,0.01269657741581515,0.009679169550857576,4,0.0040635124530478,0.0265635295133653
Table9,log1p_Q_J_external,BLSTM-SA,MSE,0.08827214610457808,0.011130418196862094,4,0.0779587838076738,0.099405804219884
Table9,log1p_Q_J_external,LCA-Stacking,MSE,0.000877366734337575,0.00043282198321014726,4,0.0002414066076572,0.0011852607969866
Table6,Tout_C,BLSTM-XGB,RMSE,2.524403052200215,0.08975631796573681,4,2.456330690628858,2.6487100943387705
Table6,Tout_C,CNN-BLSTM,RMSE,1.3351163027811455,0.17016029481909284,4,1.150509706117341,1.4885132842570572
Table6,Tout_C,BLSTM-SA,RMSE,2.085412456026591,0.3435765321885607,4,1.5702033235171464,2.269033131197045
Table6,Tout_C,LCA-Stacking,RMSE,0.5993310098090043,0.10092520859981215,4,0.476577723256673,0.7099137275456281
Table7,log1p_Q_J,BLSTM-XGB,RMSE,0.09757592518760455,0.0033313302607024826,4,0.0936560226602459,0.1003506764848673
Table7,log1p_Q_J,CNN-BLSTM,RMSE,0.09809947336790595,0.02353211518036234,4,0.0694114597994032,0.1270103168892598
Table7,log1p_Q_J,BLSTM-SA,RMSE,0.3717388070473849,0.06651613277240427,4,0.3125231903012704,0.4646746720556235
Table7,log1p_Q_J,LCA-Stacking,RMSE,0.07407530224068495,0.027164918149492637,4,0.0547771573931712,0.1139621692864112
Table8,Tout_C_external,BLSTM-XGB,RMSE,0.4804124589391638,0.08217650259807155,4,0.3757645169713547,0.5601912505578504
Table8,Tout_C_external,CNN-BLSTM,RMSE,0.707976721438633,0.1307939438558055,4,0.5603583410242249,0.8241890589802332
Table8,Tout_C_external,BLSTM-SA,RMSE,1.8032821379586332,0.9298629652571914,4,1.083707268956537,3.10019371174115
Table8,Tout_C_external,LCA-Stacking,RMSE,0.616132497523482,0.4147860751702791,4,0.1491644512383823,1.0518903080832902
Table9,log1p_Q_J_external,BLSTM-XGB,RMSE,0.07298591892540535,0.04044052619185377,4,0.0334020187534589,0.1294106047481527
Table9,log1p_Q_J_external,CNN-BLSTM,RMSE,0.10686422628151344,0.0412571538373437,4,0.0637456857602758,0.1629832185022904
Table9,log1p_Q_J_external,BLSTM-SA,RMSE,0.29666241829508067,0.018745868020898344,4,0.2792110023041246,0.3152868602081032
Table9,log1p_Q_J_external,LCA-Stacking,RMSE,0.0286182533212515,0.008821361284088036,4,0.0155372651279834,0.0344276167776198
Table6,Tout_C,BLSTM-XGB,MAE,1.195151716824303,0.042226942122169174,4,1.142261025323305,1.2420245390041036
Table6,Tout_C,CNN-BLSTM,MAE,0.9460789829603513,0.13576991422652582,4,0.8274016002694167,1.1410707979403996
Table6,Tout_C,BLSTM-SA,MAE,1.578190532544254,0.3847365618066874,4,1.0026296930739478,1.7925887655206678
Table6,Tout_C,LCA-Stacking,MAE,0.44626019331378736,0.07145373827547176,4,0.3623178743799771,0.5361052826115476
Table7,log1p_Q_J,BLSTM-XGB,MAE,0.04426158098309978,0.0024311091330015736,4,0.041924692782433,0.0471569505036547
