model,target,R2,MSE,RMSE,MAE,MAPE_percent
BLSTM-XGB,Tout_C,0.998973032588926,0.14119897221471553,0.3757645169713547,0.30206757802827167,0.0559394574988429
CNN-BLSTM,Tout_C,0.9952067873750636,0.6590245113423904,0.8118032466936742,0.661695363803455,0.1231955880954373
BLSTM-SA,Tout_C,0.9750566395405557,3.4294923309897616,1.8518888549234702,1.7699274207120579,0.3288171393466945
LCA-Stacking,Tout_C,0.9998381712065251,0.022250033513247742,0.14916445123838235,0.1084882159651339,0.01999803241907709
BLSTM-XGB,log1p_Q_J,0.992449805701631,0.00383555848020298,0.06193188581177696,0.04442895642624301,0.26054915295226383
CNN-BLSTM,log1p_Q_J,0.9477104025107308,0.02656352951336534,0.16298321850229042,0.12364352372304921,0.7269161844583821
BLSTM-SA,log1p_Q_J,0.8465402188363116,0.07795878380767386,0.2792110023041246,0.24285367730805263,1.442675697973483
LCA-Stacking,log1p_Q_J,0.997818373331827,0.0011082836198739292,0.03329089394825452,0.03116867792466705,0.18611326017091825
