model,target,R2,MSE,RMSE,MAE,MAPE_percent
BLSTM-XGB,Tout_C,0.9720985023096284,6.056131912090967,2.460920947956469,1.142261025323305,0.2040584960609073
CNN-BLSTM,Tout_C,0.9897920715011796,2.21567179740973,1.4885132842570572,1.1410707979403996,0.2065809071743327
BLSTM-SA,Tout_C,0.988640898658542,2.4655384771842925,1.5702033235171464,1.0026296930739478,0.1824620498001948
LCA-Stacking,Tout_C,0.9976781009277992,0.5039775005577283,0.7099137275456281,0.5361052826115476,0.0975518378282995
BLSTM-XGB,log1p_Q_J,0.987602630424687,0.0100702582709705,0.1003506764848673,0.0471569505036547,0.2968617181537688
CNN-BLSTM,log1p_Q_J,0.988443282039548,0.0093874054427048,0.0968886239075819,0.0588051403081978,0.3760033040000642
BLSTM-SA,log1p_Q_J,0.8592481603367015,0.1143312997900897,0.338129117039763,0.1786592274151025,1.16980860727124
LCA-Stacking,log1p_Q_J,0.9942795041031768,0.0046467011222889,0.0681667156483936,0.0407878810763243,0.2610603893164748
