target,stage,query_time_step,key_time_step,query_lag_steps,key_lag_steps,mean_attention_score
Tout_C,Early,3,8,-26,-21,0.0216607134789228
Tout_C,Early,3,9,-26,-20,0.0218029450625181
Tout_C,Early,3,10,-26,-19,0.0219427682459354
Tout_C,Early,3,11,-26,-18,0.0220810398459434
Tout_C,Early,3,12,-26,-17,0.0222217105329036
Tout_C,Early,3,13,-26,-16,0.0223714392632246
Tout_C,Early,3,14,-26,-15,0.0225394330918788
Tout_C,Early,3,15,-26,-14,0.0227376669645309
Tout_C,Early,3,16,-26,-13,0.022981621325016
Tout_C,Early,3,17,-26,-12,0.0232915561646223
Tout_C,Early,3,18,-26,-11,0.0236947294324636
Tout_C,Early,3,19,-26,-10,0.0242290217429399
Tout_C,Early,3,20,-26,-9,0.0249495394527912
Tout_C,Early,3,21,-26,-8,0.0259401928633451
Tout_C,Early,3,22,-26,-7,0.0273354854434728
Tout_C,Early,3,23,-26,-6,0.029363177716732
Tout_C,Early,3,24,-26,-5,0.032434020191431
Tout_C,Early,3,25,-26,-4,0.0373431779444217
Tout_C,Early,3,26,-26,-3,0.0457619912922382
Tout_C,Early,3,27,-26,-2,0.0615663714706897
Tout_C,Early,3,28,-26,-1,0.0948628410696983
Tout_C,Early,3,29,-26,0,0.1759117990732193
Tout_C,Early,4,0,-25,-29,0.0228152777999639
Tout_C,Early,4,1,-25,-28,0.0218525063246488
Tout_C,Early,4,2,-25,-27,0.0213553439825773
Tout_C,Early,4,3,-25,-26,0.0211383067071437
Tout_C,Early,4,4,-25,-25,0.0210895035415887
Tout_C,Early,4,5,-25,-24,0.0211388915777206
Tout_C,Early,4,6,-25,-23,0.0212420597672462
Tout_C,Early,4,7,-25,-22,0.0213713757693767
Tout_C,Early,4,8,-25,-21,0.0215102098882198
Tout_C,Early,4,9,-25,-20,0.0216498021036386
Tout_C,Early,4,10,-25,-19,0.0217868257313966
Tout_C,Early,4,11,-25,-18,0.0219220351427793
Tout_C,Early,4,12,-25,-17,0.0220592990517616
Tout_C,Early,4,13,-25,-16,0.022205201908946
Tout_C,Early,4,14,-25,-15,0.0223688427358865
Tout_C,Early,4,15,-25,-14,0.0225620996206998
Tout_C,Early,4,16,-25,-13,0.0228002592921257
Tout_C,Early,4,17,-25,-12,0.0231033246964216
Tout_C,Early,4,18,-25,-11,0.0234981887042522
Tout_C,Early,4,19,-25,-10,0.0240222569555044
Tout_C,Early,4,20,-25,-9,0.0247300248593091
Tout_C,Early,4,21,-25,-8,0.0257045738399028
Tout_C,Early,4,22,-25,-7,0.0270795170217752
Tout_C,Early,4,23,-25,-6,0.029082303866744
Tout_C,Early,4,24,-25,-5,0.0321255624294281
Tout_C,Early,4,25,-25,-4,0.0370139628648757
Tout_C,Early,4,26,-25,-3,0.0454549938440322
Tout_C,Early,4,27,-25,-2,0.0614548213779926
Tout_C,Early,4,28,-25,-1,0.09561238437891
Tout_C,Early,4,29,-25,0,0.1802503764629364
Tout_C,Early,5,0,-24,-29,0.0227717235684394
Tout_C,Early,5,1,-24,-28,0.0217900332063436
Tout_C,Early,5,2,-24,-27,0.0212821215391159
Tout_C,Early,5,3,-24,-26,0.0210586469620466
Tout_C,Early,5,4,-24,-25,0.021005680784583
Tout_C,Early,5,5,-24,-24,0.0210521258413791
Tout_C,Early,5,6,-24,-23,0.0211530644446611
Tout_C,Early,5,7,-24,-22,0.0212804246693849
Tout_C,Early,5,8,-24,-21,0.0214174315333366
Tout_C,Early,5,9,-24,-20,0.0215551387518644
Tout_C,Early,5,10,-24,-19,0.0216901563107967
Tout_C,Early,5,11,-24,-18,0.0218231901526451
Tout_C,Early,5,12,-24,-17,0.0219580736011266
Tout_C,Early,5,13,-24,-16,0.0221013221889734
Tout_C,Early,5,14,-24,-15,0.0222619734704494
Tout_C,Early,5,15,-24,-14,0.0224518068134784
Tout_C,Early,5,16,-24,-13,0.0226859878748655
Tout_C,Early,5,17,-24,-12,0.0229843314737081
Tout_C,Early,5,18,-24,-11,0.023373445495963
Tout_C,Early,5,19,-24,-10,0.0238904412835836
Tout_C,Early,5,20,-24,-9,0.0245892331004142
Tout_C,Early,5,21,-24,-8,0.0255522951483726
Tout_C,Early,5,22,-24,-7,0.0269124787300825
Tout_C,Early,5,23,-24,-6,0.0288966353982687
Tout_C,Early,5,24,-24,-5,0.0319179259240627
Tout_C,Early,5,25,-24,-4,0.0367862395942211
