target,query_time_step,key_time_step,mean_attention_score
Tout_C,0,0,0.0233569011599599
Tout_C,0,1,0.0228173399636566
Tout_C,0,2,0.0226582373750293
Tout_C,0,3,0.0226922938239949
Tout_C,0,4,0.0228226861059825
Tout_C,0,5,0.0229961902046325
Tout_C,0,6,0.0231831528746659
Tout_C,0,7,0.0233677740783592
Tout_C,0,8,0.0235428722710585
Tout_C,0,9,0.0237068328120339
Tout_C,0,10,0.0238617460925909
Tout_C,0,11,0.024012272891938
Tout_C,0,12,0.0241650020583706
Tout_C,0,13,0.0243281821604951
Tout_C,0,14,0.0245117687474279
Tout_C,0,15,0.0247277835941567
Tout_C,0,16,0.0249910269218139
Tout_C,0,17,0.0253202583345548
Tout_C,0,18,0.0257400708718828
Tout_C,0,19,0.0262838810566911
Tout_C,0,20,0.0269988377400475
Tout_C,0,21,0.027954222348836
Tout_C,0,22,0.0292566035496167
Tout_C,0,23,0.03107898244688
Tout_C,0,24,0.0337213511219311
Tout_C,0,25,0.037748968065654
Tout_C,0,26,0.0443469298213786
Tout_C,0,27,0.0563701168151361
Tout_C,0,28,0.0820592810198062
Tout_C,0,29,0.151378421375366
Tout_C,1,0,0.0230120177088633
Tout_C,1,1,0.0223391544803203
Tout_C,1,2,0.0221092302513251
Tout_C,1,3,0.022104480981967
Tout_C,1,4,0.0222135420000856
Tout_C,1,5,0.0223754932025038
Tout_C,1,6,0.0225563235573706
Tout_C,1,7,0.0227376703850813
Tout_C,1,8,0.0229108261960842
Tout_C,1,9,0.0230732778098021
Tout_C,1,10,0.023226607261762
Tout_C,1,11,0.0233752126247368
Tout_C,1,12,0.0235255759308103
Tout_C,1,13,0.0236859401147355
Tout_C,1,14,0.0238663265321321
Tout_C,1,15,0.0240788838173072
Tout_C,1,16,0.0243386082685087
Tout_C,1,17,0.0246645550927929
Tout_C,1,18,0.0250817746073599
Tout_C,1,19,0.0256244193275751
Tout_C,1,20,0.0263408697061126
Tout_C,1,21,0.0273025496283398
Tout_C,1,22,0.0286199161546885
Tout_C,1,23,0.0304733987093077
Tout_C,1,24,0.0331781858462167
Tout_C,1,25,0.0373337379986602
Tout_C,1,26,0.0442133291574843
Tout_C,1,27,0.0569465995445717
Tout_C,1,28,0.0848710078266639
Tout_C,1,29,0.1638204722933163
Tout_C,2,0,0.0228200438064061
Tout_C,2,1,0.022057965790009
Tout_C,2,2,0.0217800959352811
Tout_C,2,3,0.0217481163291502
Tout_C,2,4,0.0218411866420015
Tout_C,2,5,0.0219935080122171
Tout_C,2,6,0.0221683539643416
Tout_C,2,7,0.0223457720692681
Tout_C,2,8,0.0225160979274282
Tout_C,2,9,0.022676236553799
Tout_C,2,10,0.022827418360377
Tout_C,2,11,0.022973832631073
Tout_C,2,12,0.0231218423826117
Tout_C,2,13,0.0232796283330375
Tout_C,2,14,0.023457187572262
Tout_C,2,15,0.0236666736888525
Tout_C,2,16,0.0239231191580998
Tout_C,2,17,0.024245658891557
Tout_C,2,18,0.0246594963185152
Tout_C,2,19,0.0251990689383568
Tout_C,2,20,0.0259132864136663
Tout_C,2,21,0.0268745694803884
Tout_C,2,22,0.028195297521254
Tout_C,2,23,0.030059758781182
Tout_C,2,24,0.032791377560837
Tout_C,2,25,0.037008903847243
Tout_C,2,26,0.0440375431095724
Tout_C,2,27,0.0571777698780754
Tout_C,2,28,0.0865000207991061
Tout_C,2,29,0.1721401572025674
Tout_C,3,0,0.0227094898684263
Tout_C,3,1,0.0218909827657693
Tout_C,3,2,0.0215824049357226
Tout_C,3,3,0.0215324186323207
Tout_C,3,4,0.0216143435309137
Tout_C,3,5,0.021759445019124
Tout_C,3,6,0.0219293879946415
Tout_C,3,7,0.0221032826265356
Tout_C,3,8,0.0222708943806255
Tout_C,3,9,0.022428771945413
Tout_C,3,10,0.0225779180331862
Tout_C,3,11,0.0227223739216297
Tout_C,3,12,0.022868403686031
Tout_C,3,13,0.0230241191532125
Tout_C,3,14,0.0231994676364091
Tout_C,3,15,0.0234065660502895
Tout_C,3,16,0.0236604221644611
Tout_C,3,17,0.023980162824741
Tout_C,3,18,0.024391012966865
Tout_C,3,19,0.0249274887852678
Tout_C,3,20,0.0256386920134102
Tout_C,3,21,0.0265974631627116
Tout_C,3,22,0.0279170735915662
Tout_C,3,23,0.0297837294301954
Tout_C,3,24,0.0325251783173187
Tout_C,3,25,0.0367708074505376
Tout_C,3,26,0.0438759481092627
Tout_C,3,27,0.0572460983473062
Tout_C,3,28,0.0874340654362648
Tout_C,3,29,0.1776315746345469
Tout_C,4,0,0.0226447323026576
Tout_C,4,1,0.0217930298922182
Tout_C,4,2,0.0214659803379553
Tout_C,4,3,0.0214047173682981
Tout_C,4,4,0.0214792550875602
Tout_C,4,5,0.0216192324440095
Tout_C,4,6,0.0217854361151867
Tout_C,4,7,0.0219564652957957
Tout_C,4,8,0.0221217702280677
Tout_C,4,9,0.0222776952900918
Tout_C,4,10,0.0224251048466876
Tout_C,4,11,0.0225679418586042
Tout_C,4,12,0.0227123963298842
Tout_C,4,13,0.0228665204997714
Tout_C,4,14,0.0230402098472632
Tout_C,4,15,0.0232455339739397
Tout_C,4,16,0.0234974554735101
Tout_C,4,17,0.0238150594192784
Tout_C,4,18,0.0242235362905768
Tout_C,4,19,0.024757386006255
Tout_C,4,20,0.0254657371164759
Tout_C,4,21,0.0264215528783169
Tout_C,4,22,0.0277384437735201
Tout_C,4,23,0.0296034566642809
Tout_C,4,24,0.0323464260337797
Tout_C,4,25,0.036602291547167
Tout_C,4,26,0.0437432951794532
Tout_C,4,27,0.0572383042331739
Tout_C,4,28,0.0879524038851027
Tout_C,4,29,0.1811886176531681
Tout_C,5,0,0.0226069242748838
Tout_C,5,1,0.0217380158666017
Tout_C,5,2,0.0214009014917083
Tout_C,5,3,0.0213330720366747
Tout_C,5,4,0.0214029630749196
Tout_C,5,5,0.0215394524229392
Tout_C,5,6,0.0217029210786333
Tout_C,5,7,0.0218717304898344
Tout_C,5,8,0.0220351791886539
Tout_C,5,9,0.0221895068892437
Tout_C,5,10,0.0223355003841837
Tout_C,5,11,0.0224770411688438
Tout_C,5,12,0.0226202669311686
Tout_C,5,13,0.0227731825593499
Tout_C,5,14,0.0229456378766174
Tout_C,5,15,0.0231496562122103
Tout_C,5,16,0.0234001514005001
Tout_C,5,17,0.0237161560820773
Tout_C,5,18,0.0241228043674587
Tout_C,5,19,0.0246545377247423
Tout_C,5,20,0.0253604308668646
Tout_C,5,21,0.0263134167237134
Tout_C,5,22,0.0276271466059437
Tout_C,5,23,0.0294889069183667
Tout_C,5,24,0.0322293371122289
Tout_C,5,25,0.036485937328498
Tout_C,5,26,0.0436398465987339
Tout_C,5,27,0.0571969404032163
Tout_C,5,28,0.0882197113619679
Tout_C,5,29,0.1834227122621596
Tout_C,6,0,0.0225855040714877
Tout_C,6,1,0.0217101448160352
Tout_C,6,2,0.0213686060946813
Tout_C,6,3,0.021297422376846
Tout_C,6,4,0.0213646035288301
Tout_C,6,5,0.0214988260170891
Tout_C,6,6,0.0216603634050659
Tout_C,6,7,0.0218275100503496
Tout_C,6,8,0.0219895147520973
Tout_C,6,9,0.022142575682013
Tout_C,6,10,0.0222874421727202
Tout_C,6,11,0.022427959795704
Tout_C,6,12,0.0225702310870736
Tout_C,6,13,0.0227222249376997
Tout_C,6,14,0.0228937535130858
Tout_C,6,15,0.0230967991660153
Tout_C,6,16,0.0233462299737883
Tout_C,6,17,0.0236610256736447
Tout_C,6,18,0.0240662578602078
Tout_C,6,19,0.0245962930554913
Tout_C,6,20,0.0253001155131493
Tout_C,6,21,0.0262505512803733
Tout_C,6,22,0.0275611356636297
Tout_C,6,23,0.0294190669826402
Tout_C,6,24,0.0321550685489203
Tout_C,6,25,0.0364074699640366
Tout_C,6,26,0.04356150606642
Tout_C,6,27,0.0571434652791888
Tout_C,6,28,0.0883358477401325
Tout_C,6,29,0.1847524725198583
Tout_C,7,0,0.0225742340404599
Tout_C,7,1,0.0216995051962338
Tout_C,7,2,0.0213572456240923
Tout_C,7,3,0.0212848546356427
Tout_C,7,4,0.0213506696710727
Tout_C,7,5,0.0214835180455301
Tout_C,7,6,0.0216437483887904
Tout_C,7,7,0.0218096901158549
Tout_C,7,8,0.0219706035613499
Tout_C,7,9,0.0221226839522291
Tout_C,7,10,0.0222666682982589
Tout_C,7,11,0.022406383834724
Tout_C,7,12,0.0225479102941636
Tout_C,7,13,0.0226991902318588
Tout_C,7,14,0.0228700057961597
Tout_C,7,15,0.0230723048190151
Tout_C,7,16,0.0233209148619257
Tout_C,7,17,0.023634766743226
Tout_C,7,18,0.0240388710226772
Tout_C,7,19,0.0245675156039474
Tout_C,7,20,0.0252695806866156
Tout_C,7,21,0.0262177520546201
Tout_C,7,22,0.0275253735505138
Tout_C,7,23,0.0293793885530195
Tout_C,7,24,0.0321102224078061
Tout_C,7,25,0.0363560787453909
Tout_C,7,26,0.0435034998740021
Tout_C,7,27,0.0570888819706837
Tout_C,7,28,0.0883626979351791
Tout_C,7,29,0.1854652274444513
Tout_C,8,0,0.0225692656127525
Tout_C,8,1,0.0216997292588671
Tout_C,8,2,0.0213591277193477
Tout_C,8,3,0.0212869398096151
Tout_C,8,4,0.0213523109114603
Tout_C,8,5,0.0214844333558276
Tout_C,8,6,0.0216438367613686
Tout_C,8,7,0.0218089434844445
Tout_C,8,8,0.0219690598207895
Tout_C,8,9,0.0221204001460958
Tout_C,8,10,0.0222637045142684
Tout_C,8,11,0.0224027931706359
Tout_C,8,12,0.0225437322101297
Tout_C,8,13,0.0226944453733967
Tout_C,8,14,0.0228646916447193
Tout_C,8,15,0.0230663905318282
Tout_C,8,16,0.0233143352281409
Tout_C,8,17,0.0236274130555811
Tout_C,8,18,0.0240305784136488
Tout_C,8,19,0.0245580436302863
Tout_C,8,20,0.0252585842306649
Tout_C,8,21,0.0262047362520553
Tout_C,8,22,0.0275096246060006
Tout_C,8,23,0.0293598677145649
Tout_C,8,24,0.0320854184122334
Tout_C,8,25,0.0363238805966674
Tout_C,8,26,0.0434615868093971
Tout_C,8,27,0.057038803494048
Tout_C,8,28,0.0883390818376271
Tout_C,8,29,0.1857582294638201
Tout_C,9,0,0.0225681513244275
Tout_C,9,1,0.0217066846917799
Tout_C,9,2,0.0213692376566558
Tout_C,9,3,0.0212981671929398
Tout_C,9,4,0.0213637260156656
Tout_C,9,5,0.0214955952272318
Tout_C,9,6,0.0216545426524109
Tout_C,9,7,0.0218191127826866
Tout_C,9,8,0.0219786752761084
Tout_C,9,9,0.0221294751870441
Tout_C,9,10,0.0222722645596893
Tout_C,9,11,0.0224108639701493
Tout_C,9,12,0.0225513321756692
Tout_C,9,13,0.0227015803039704
Tout_C,9,14,0.0228713497279303
Tout_C,9,15,0.0230725376229158
Tout_C,9,16,0.0233199085193121
Tout_C,9,17,0.0236323125117022
Tout_C,9,18,0.0240346539380206
Tout_C,9,19,0.0245610760319133
Tout_C,9,20,0.0252602556803634
Tout_C,9,21,0.026204583982454
Tout_C,9,22,0.0275069671502811
Tout_C,9,23,0.0293536870236711
Tout_C,9,24,0.0320741755216057
Tout_C,9,25,0.0363052608605908
Tout_C,9,26,0.0434323465757305
Tout_C,9,27,0.0569959500785655
Tout_C,9,28,0.0882893258328459
Tout_C,9,29,0.1857661876283156
Tout_C,10,0,0.0225693146517579
Tout_C,10,1,0.0217177081027408
Tout_C,10,2,0.0213843454694497
Tout_C,10,3,0.0213149857353068
Tout_C,10,4,0.0213811708557916
Tout_C,10,5,0.0215131385179122
Tout_C,10,6,0.0216719211974511
Tout_C,10,7,0.0218361977778451
